Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
PE/26062;PIAZZA BANDIERA (F.LLI) N. 13 (z.d. 3);SOMMINISTRAZIONE - In piano;PIAZZA BANDIERA (F.LLI);13;3182.0;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;57.0;20129.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.21138357925;45.4708538472;45.4708538472, 9.21138357925
PE/24514;VIA MUSSI GIUSEPPE N. 13 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA MUSSI GIUSEPPE;13;7199.0;e - Bar gastronomici e simili;;15.0;20154.0;69.0;SARPI;8.0;9.1664781839054;45.4829332001083;45.4829332001083, 9.1664781839054
PE/24515;Viale MOLISE N. 54 (z.d. 4);SOMMINISTRAZIONE - In piano;Viale MOLISE;54;3178.0;a - Ristorante, trattoria, osteria con cucina e simili;;99.0;20137.0;29.0;ORTOMERCATO;4.0;9.22436003768;45.4542383748;45.4542383748, 9.22436003768
PE/26065;VIA PALIZZI FILIPPO N. 119 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA PALIZZI FILIPPO;119;7451.0;e - Bar gastronomici e simili|f - Bar caffè e simili;;59.0;20157.0;76.0;QUARTO OGGIARO;8.0;9.13367290882;45.5084422216;45.5084422216, 9.13367290882
C-PE/61;Viale MONZA N. 256| isolato:040| accesso: accesso esterno| (z.d. 2);SOMMINISTRAZIONE - In piano;Viale MONZA;256;2274.0;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;139.0;20128.0;16.0;VLE MONZA;2.0;9.22577045811;45.5156104946;45.5156104946, 9.22577045811
PE/24736;Via MUSATTI CESARE N. 8 (z.d. 1);SOMMINISTRAZIONE - In piano;Via MUSATTI CESARE;8;7603.0;a - Ristorante, trattoria, osteria con cucina e simili;;421.0;20157.0;75.0;STEPHENSON;8.0;9.12371061027;45.5112784827;45.5112784827, 9.12371061027
PE/26071;Largo CROCETTA (DELLA) N. 2 (z.d. 1);SOMMINISTRAZIONE - In piano;Largo CROCETTA (DELLA);2;654.0;e - Bar gastronomici e simili;;60.0;20122.0;5.0;VIGENTINA;1.0;9.19542534875;45.4558966703;45.4558966703, 9.19542534875
PE/24504;Via BRONZINO N. 1 (z.d. 3);SOMMINISTRAZIONE - In piano;Via BRONZINO;1;2191.0;e - Bar gastronomici e simili;;57.0;20129.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.21937241361;45.474653828;45.474653828, 9.21937241361
PE/24505;VIA POLIZIANO N. 12 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA POLIZIANO;12;7196.0;;;59.0;20154.0;69.0;SARPI;8.0;9.16566195038373;45.4835815429208;45.4835815429208, 9.16566195038373
PE/26561;VIA PASSARELLA N. 4 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA PASSARELLA;4;298.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;65.0;20122.0;1.0;DUOMO;1.0;9.19452001501;45.4648127621;45.4648127621, 9.19452001501
PE/24474;Via LOMBARDINI ELIA N. 1 (z.d. 6);SOMMINISTRAZIONE - In piano;Via LOMBARDINI ELIA;1;5146.0;;;59.0;20143.0;44.0;NAVIGLI;6.0;9.16417552724;45.4491590722;45.4491590722, 9.16417552724
PE/24617;Viale MONZA N. 22 (z.d. 2);SOMMINISTRAZIONE - In piano;Viale MONZA;22;2274.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;70.0;20127.0;20.0;LORETO;2.0;9.21786669163;45.4894016668;45.4894016668, 9.21786669163
PE/27374;VIA CASATI FELICE N. 8 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA CASATI FELICE;8;2122.0;a - Ristorante, trattoria, osteria con cucina e simili;;179.0;20124.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.20587163608;45.4777729208;45.4777729208, 9.20587163608
PE/25745;Via MUZIO SCEVOLA N. 4 (z.d. 3);SOMMINISTRAZIONE - In piano;Via MUZIO SCEVOLA;4;2663.0;e - Bar gastronomici e simili;;17.0;20134.0;23.0;LAMBRATE;3.0;9.24100621771;45.4831749645;45.4831749645, 9.24100621771
PE/27326;Via GREGORIO (SAN) N. 40 (z.d. 2);SOMMINISTRAZIONE - In piano;Via GREGORIO (SAN);40;2123.0;e - Bar gastronomici e simili|f - Bar caffè e simili;;38.0;20124.0;10.0;CENTRALE;2.0;9.20192654494154;45.4809182884537;45.4809182884537, 9.20192654494154
PE/27333;Via BRAMANTE N. 20 (z.d. 1);SOMMINISTRAZIONE - In piano;Via BRAMANTE;20;7123.0;;;72.0;20154.0;69.0;SARPI;1.0;9.17944057276;45.4808494924;45.4808494924, 9.17944057276
PE/24535;Via GIAMBELLINO N. 150 (z.d. 6);SOMMINISTRAZIONE - In piano;Via GIAMBELLINO;150;5136.0;e - Bar gastronomici e simili;;29.0;20147.0;49.0;GIAMBELLINO;6.0;9.13057142551;45.4449765324;45.4449765324, 9.13057142551
PE/24546;Via PIERLUIGI GIOVANNI DA PALESTRINA N. 32 (z.d. 2);SOMMINISTRAZIONE - In piano;Via PIERLUIGI GIOVANNI DA PALESTRINA;32;2235.0;e - Bar gastronomici e simili;;28.0;20124.0;10.0;CENTRALE;2.0;9.20979614615655;45.4873845683719;45.4873845683719, 9.20979614615655
PE/24547;VIA RIPAMONTI GIUSEPPE N. 190 (z.d. 5);SOMMINISTRAZIONE - In piano;VIA RIPAMONTI GIUSEPPE;190;4066.0;c - Tavole calde,self service, fast food e simili;;41.0;20141.0;38.0;RIPAMONTI;5.0;9.20103023676;45.4329812948;45.4329812948, 9.20103023676
PE/24601;Via SIRTORI GIUSEPPE N. 34 (z.d. 3);SOMMINISTRAZIONE - In piano;Via SIRTORI GIUSEPPE;34;2180.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;173.0;20129.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.20682382383;45.474971589;45.474971589, 9.20682382383
PE/25598;Piazza AMBROSOLI GIORGIO N. 3 (z.d. 7);SOMMINISTRAZIONE - In piano;Piazza AMBROSOLI GIORGIO;3;6317.0;d - Pizzerie e simili;;21.0;20144.0;51.0;WASHINGTON;7.0;9.16112720152;45.464223081;45.464223081, 9.16112720152
PE/24602;VIA BONFADINI ROMUALDO N. 101 (z.d. 4);SOMMINISTRAZIONE - In piano;VIA BONFADINI ROMUALDO;101;3341.0;e - Bar gastronomici e simili;;55.0;20138.0;30.0;MECENATE;4.0;9.2464531691;45.4448192933;45.4448192933, 9.2464531691
PE/25633;VIA SANSOVINO N. 30 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA SANSOVINO;30;2213.0;a - Ristorante, trattoria, osteria con cucina e simili|c - Tavole calde,self service, fast food e simili|f - Bar caffè e simili|i - Disco bar, america bar, locali serali e simili;;254.0;20133.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.22086980099;45.479103101;45.479103101, 9.22086980099
PE/25634;Ripa PORTA TICINESE (DI) N. 9 (z.d. 6);SOMMINISTRAZIONE - In piano;Ripa PORTA TICINESE (DI);9;5150.0;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;9.0;20143.0;44.0;NAVIGLI;6.0;9.17665711287;45.4519837238;45.4519837238, 9.17665711287
PE/25635;VIA ALBRICCI ALBERICO N. 3 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA ALBRICCI ALBERICO;3;658.0;a - Ristorante, trattoria, osteria con cucina e simili;;202.0;20123.0;1.0;DUOMO;1.0;9.17754762318;45.4650073038;45.4650073038, 9.17754762318
PE/25984;VIA MONTEBELLO N. 7 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA MONTEBELLO;7;1037.0;f - Bar caffè e simili;;67.0;20121.0;2.0;BRERA;1.0;9.18915090291;45.4753029843;45.4753029843, 9.18915090291
PE/24883;Via NEGROLI N. 23 (z.d. 4);SOMMINISTRAZIONE - In piano;Via NEGROLI;23;3279.0;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili|f - Bar caffè e simili;;125.0;20133.0;25.0;CORSICA;4.0;9.23232457441;45.4649096988;45.4649096988, 9.23232457441
PE/24884;Viale SUZZANI GIOVANNI N. 155 (z.d. 9);SOMMINISTRAZIONE - In piano;Viale SUZZANI GIOVANNI;155;1446.0;;;20.0;20162.0;14.0;NIGUARDA - CA' GRANDA;9.0;9.20307759016;45.5162445427;45.5162445427, 9.20307759016
PE/24885;Via GALLARATE N. 107 (z.d. 8);SOMMINISTRAZIONE - In piano;Via GALLARATE;107;7420.0;e - Bar gastronomici e simili;;25.0;20151.0;71.0;VILLAPIZZONE;8.0;9.13325388585;45.4963893067;45.4963893067, 9.13325388585
PE/26186;Via CARDANO GEROLAMO N. 8 (z.d. 9);SOMMINISTRAZIONE - In piano;Via CARDANO GEROLAMO;8;1187.0;a - Ristorante, trattoria, osteria con cucina e simili;;342.0;20124.0;9.0;GARIBALDI REPUBBLICA;9.0;9.19761998236;45.4855466145;45.4855466145, 9.19761998236
C-PE/18297;Via CHIESE N. 60 con ingresso in v.le sarca - 1° piano (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627.0;;;165.0;20126.0;15.0;BICOCCA;9.0;9.2161256999;45.5219962455;45.5219962455, 9.2161256999
PE/25734;Ripa PORTA TICINESE (DI) N. 5 (z.d. 6);SOMMINISTRAZIONE - In piano;Ripa PORTA TICINESE (DI);5;5150.0;e - Bar gastronomici e simili;;81.0;20143.0;44.0;NAVIGLI;6.0;9.17712115757;45.4520663681;45.4520663681, 9.17712115757
PE/24527;VIA VIGEVANO N. 8 (z.d. 6);SOMMINISTRAZIONE - In piano;VIA VIGEVANO;8;5116.0;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;75.0;20144.0;44.0;NAVIGLI;6.0;9.17420240665;45.4530265288;45.4530265288, 9.17420240665
PE/26410;Viale MONTE SANTO N. 10 (z.d. 9);SOMMINISTRAZIONE - In piano;Viale MONTE SANTO;10;1056.0;f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;52.0;20124.0;9.0;GARIBALDI REPUBBLICA;9.0;9.19362109009;45.4800712346;45.4800712346, 9.19362109009
C-PE/18013;Via CHIESE N. 60 con ingresso in viale sarca| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627.0;;bar caffe;136.0;20126.0;15.0;BICOCCA;9.0;9.2161256999;45.5219962455;45.5219962455, 9.2161256999
C-PE/18025;Via CHIESE N. 60 con ingresso in viale sarca| accesso: accesso interno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627.0;;;66.0;20126.0;15.0;BICOCCA;9.0;9.2161256999;45.5219962455;45.5219962455, 9.2161256999
C-PE/18039;VIA CHIESE N. 60 con ingresso da viale sarca| (z.d. 9);SOMMINISTRAZIONE - In piano;VIA CHIESE;60;1627.0;;;193.0;20126.0;15.0;BICOCCA;9.0;9.2161256999;45.5219962455;45.5219962455, 9.2161256999
C-PE/18040;VIA CHIESE N. 60 con ingresso in viale sarca| (z.d. 9);SOMMINISTRAZIONE - In piano;VIA CHIESE;60;1627.0;;;31.0;20126.0;15.0;BICOCCA;9.0;9.2161256999;45.5219962455;45.5219962455, 9.2161256999
C-PE/18042;Via CHIESE N. 60 con ingresso in viale sarca| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627.0;;cibiamo;14.0;20126.0;15.0;BICOCCA;9.0;9.2161256999;45.5219962455;45.5219962455, 9.2161256999
C-PE/18044;Via CHIESE N. 60 con ingresso in viale sarca| (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627.0;;;90.0;20126.0;15.0;BICOCCA;9.0;9.2161256999;45.5219962455;45.5219962455, 9.2161256999
C-PE/18046;VIA CHIESE N. 60 con ingresso in viale sarca| (z.d. 9);SOMMINISTRAZIONE - In piano;VIA CHIESE;60;1627.0;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;123.0;20126.0;15.0;BICOCCA;9.0;9.2161256999;45.5219962455;45.5219962455, 9.2161256999
PE/24528;VIALE DORIA ANDREA N. 4 (z.d. 2);SOMMINISTRAZIONE - In piano;VIALE DORIA ANDREA;4;2230.0;a - Ristorante, trattoria, osteria con cucina e simili;;300.0;20124.0;10.0;CENTRALE;2.0;9.20706934752;45.4848143746;45.4848143746, 9.20706934752
PE/25731;Via WASHINGTON GIORGIO N. 11 (z.d. 7);SOMMINISTRAZIONE - In piano;Via WASHINGTON GIORGIO;11;6111.0;h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;56.0;20144.0;51.0;WASHINGTON;7.0;9.155342577;45.4647306919;45.4647306919, 9.155342577
PE/25732;Via MARGHERA N. 34 (z.d. 7);SOMMINISTRAZIONE - In piano;Via MARGHERA;34;6280.0;a - Ristorante, trattoria, osteria con cucina e simili;;103.0;20149.0;58.0;DE ANGELI - MONTE ROSA;7.0;9.1511319511;45.4666162004;45.4666162004, 9.1511319511
C-PE/18082;Via CHIESE N. 60 con ingresso in viale sarca| (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627.0;;;39.0;20126.0;15.0;BICOCCA;9.0;9.2161256999;45.5219962455;45.5219962455, 9.2161256999
PE/24721;Ripa PORTA TICINESE (DI) N. 63 (z.d. 6);SOMMINISTRAZIONE - In piano;Ripa PORTA TICINESE (DI);63;5150.0;f - Bar caffè e simili|h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;20.0;20143.0;44.0;NAVIGLI;6.0;9.17061002282;45.4507122079;45.4507122079, 9.17061002282
PE/24722;Largo GELSOMINI (DEI) N. 14 (z.d. 6);SOMMINISTRAZIONE - In piano;Largo GELSOMINI (DEI);14;5394.0;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili|f - Bar caffè e simili;;60.0;20146.0;49.0;GIAMBELLINO;6.0;9.13657842346;45.4494462852;45.4494462852, 9.13657842346
PE/26275;Via SOLARI ANDREA N. 23 (z.d. 6);SOMMINISTRAZIONE - In piano;Via SOLARI ANDREA;23;5111.0;e - Bar gastronomici e simili;;27.0;20144.0;50.0;TORTONA;6.0;9.16424376677;45.4554897864;45.4554897864, 9.16424376677
PE/27134;Via PETRELLA ERRICO N. 19 (z.d. 3);SOMMINISTRAZIONE - In piano;Via PETRELLA ERRICO;19;2137.0;a - Ristorante, trattoria, osteria con cucina e simili;;47.0;20124.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.20940904971;45.4838972458;45.4838972458, 9.20940904971
PE/24208;Via IMBRIANI (DEGLI) N. 1 (z.d. 9);SOMMINISTRAZIONE - In piano;Via IMBRIANI (DEGLI);1;1266.0;f - Bar caffè e simili;;24.0;20158.0;77.0;BOVISA;9.0;9.17063470022;45.4969729361;45.4969729361, 9.17063470022
PE/27250;Via BROGGI GIUSEPPE N. 13 (z.d. 3);SOMMINISTRAZIONE - In piano;Via BROGGI GIUSEPPE;13;2150.0;a - Ristorante, trattoria, osteria con cucina e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili|h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;42.0;20129.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.21104524562;45.4778576685;45.4778576685, 9.21104524562
PE/24559;Viale BRENTA N. 14 (z.d. 4);SOMMINISTRAZIONE - In piano;Viale BRENTA;14;4151.0;;;0.0;20139.0;35.0;LODI - CORVETTO;4.0;9.21613339818;45.4412365666;45.4412365666, 9.21613339818
PE/24562;Via ANDREOLI DON GIUSEPPE N. 23 (z.d. 9);SOMMINISTRAZIONE - In piano;Via ANDREOLI DON GIUSEPPE;23;1467.0;e - Bar gastronomici e simili;;20.0;20158.0;77.0;BOVISA;9.0;9.16184732424;45.5034807705;45.5034807705, 9.16184732424
PE/24566;Via SCIESA AMATORE N. 6 (z.d. 4);SOMMINISTRAZIONE - In piano;Via SCIESA AMATORE;6;3072.0;e - Bar gastronomici e simili;;36.0;20135.0;26.0;XXII MARZO;4.0;9.20933948905;45.4613314404;45.4613314404, 9.20933948905
PE/24568;Piazza LUIGI (SAN) N. 5 (z.d. 4);SOMMINISTRAZIONE - In piano;Piazza LUIGI (SAN);5;4145.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;38.0;20139.0;35.0;LODI - CORVETTO;4.0;9.2139157677;45.4436206118;45.4436206118, 9.2139157677
PE/24570;Viale CAMPANIA N. 12 (z.d. 4);SOMMINISTRAZIONE - In piano;Viale CAMPANIA;12;3100.0;e - Bar gastronomici e simili|f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;40.0;20133.0;25.0;CORSICA;4.0;9.22423182868;45.4634903786;45.4634903786, 9.22423182868
PE/24572;Piazzale LOTTO LORENZO N. 14 (z.d. 8);SOMMINISTRAZIONE - In piano;Piazzale LOTTO LORENZO;14;6539.0;;;400.0;20148.0;58.0;DE ANGELI - MONTE ROSA;8.0;9.14347656323903;45.480633666951;45.480633666951, 9.14347656323903
PE/24580;Via FRANCESCO D'ASSISI (SAN) N. 2 con ingresso in via mercalli (z.d. 1);SOMMINISTRAZIONE - In piano;Via FRANCESCO D'ASSISI (SAN);2;4020.0;a - Ristorante, trattoria, osteria con cucina e simili;;70.0;20122.0;5.0;VIGENTINA;1.0;9.18999273398;45.4552712433;45.4552712433, 9.18999273398
PE/29107;VIA URBANO III N. 4 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA URBANO III;4;588.0;f - Bar caffè e simili;;35.0;20123.0;1.0;DUOMO;1.0;9.18168431414;45.4589637659;45.4589637659, 9.18168431414
PE/29021;VIA MISSAGLIA (DEI) N. 13 (z.d. 5);SOMMINISTRAZIONE - In piano;VIA MISSAGLIA (DEI);13;5340.0;c - Tavole calde,self service, fast food e simili|f - Bar caffè e simili;;115.0;20142.0;42.0;STADERA;5.0;9.17881491371;45.4266948606;45.4266948606, 9.17881491371
PE/24581;Viale SABOTINO N. 13 (z.d. 5);SOMMINISTRAZIONE - In piano;Viale SABOTINO;13;4046.0;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;69.0;20135.0;27.0;PTA ROMANA;5.0;9.19882993564;45.4510293169;45.4510293169, 9.19882993564
PE/25992;Via CASSINARI BRUNO N. 2 (z.d. 4);SOMMINISTRAZIONE - In piano;Via CASSINARI BRUNO;2;4386.0;e - Bar gastronomici e simili|f - Bar caffè e simili;;58.0;20138.0;33.0;ROGOREDO;4.0;9.24084433483;45.4358104303;45.4358104303, 9.24084433483
PE/28259;VIA GUARNERI (DEI) N. 24;SOMMINISTRAZIONE - In piano;VIA GUARNERI (DEI);24;4300.0;;;12.0;20141.0;38.0;RIPAMONTI;5.0;9.20436455016;45.4261539127;45.4261539127, 9.20436455016
PE/24561;Via INNOMINATO (DELL') N. 4 (z.d. 5);SOMMINISTRAZIONE - In piano;Via INNOMINATO (DELL');4;5414.0;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;286.0;;;;5.0;9.17124294117;45.4358815259;45.4358815259, 9.17124294117
C-PE/12684;Via RAVIZZA CARLO N. 1| isolato:209| accesso: accesso esterno| (z.d. 7);SOMMINISTRAZIONE - In piano;Via RAVIZZA CARLO;1;6285.0;;;64.0;20149.0;58.0;DE ANGELI - MONTE ROSA;7.0;9.15252429444;45.4672460756;45.4672460756, 9.15252429444
C-PE/12685;Via MARCO D'AGRATE N. 15| isolato:114| accesso: accesso esterno| (z.d. 5);SOMMINISTRAZIONE - In piano;Via MARCO D'AGRATE;15;4276.0;;barkollo cafe;69.0;20139.0;36.0;SCALO ROMANA;5.0;9.21404203758;45.436779562;45.436779562, 9.21404203758
C-PE/12693;Via FRAPOLLI LUIGI N. 40| isolato:218| accesso: accesso esterno| (z.d. 4);SOMMINISTRAZIONE - In piano;Via FRAPOLLI LUIGI;40;3288.0;;pizzeria porto di classe;28.0;20133.0;25.0;CORSICA;4.0;9.22952348045;45.467238873;45.467238873, 9.22952348045
C-PE/12694;Via GESU' N. 6 num.006/8 /8|cso venezia 003| isolato:261| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;Via GESU';6;227.0;;ristorante bar caffe;1151.0;20121.0;1.0;DUOMO;1.0;9.1949780652;45.469317283;45.469317283, 9.1949780652
C-PE/12699;Alzaia NAVIGLIO PAVESE N. 10| isolato:075| accesso: accesso esterno| (z.d. 6);SOMMINISTRAZIONE - In piano;Alzaia NAVIGLIO PAVESE;10;5161.0;;pancho villa;57.0;20143.0;44.0;NAVIGLI;6.0;9.17758879851;45.4508694483;45.4508694483, 9.17758879851
C-PE/12708;VIA VILLORESI EUGENIO N. 33| isolato:063| accesso: accesso esterno| (z.d. 6);SOMMINISTRAZIONE - In piano;VIA VILLORESI EUGENIO;33;5145.0;;;252.0;20143.0;44.0;NAVIGLI;6.0;9.16393998348;45.4465406626;45.4465406626, 9.16393998348
C-PE/12714-1;Via FARINI CARLO N. 33| isolato:253| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via FARINI CARLO;33;1114.0;;bar caffe;58.0;20159.0;11.0;ISOLA;9.0;9.18295261553;45.4893384007;45.4893384007, 9.18295261553
C-PE/12716;Via APRICA (DELL') N. 2| isolato:105| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via APRICA (DELL');2;1223.0;a - Ristorante, trattoria, osteria con cucina e simili;ristorante piccolo fumino;48.0;20158.0;78.0;FARINI;9.0;9.18165853344;45.4934014897;45.4934014897, 9.18165853344
C-PE/12717;Via CABELLA BARTOLOMEO N. 6| isolato:149| accesso: accesso esterno| (z.d. 7);SOMMINISTRAZIONE - In piano;Via CABELLA BARTOLOMEO;6;6778.0;;;62.0;20152.0;55.0;BAGGIO;7.0;9.09502013413;45.4598126955;45.4598126955, 9.09502013413
C-PE/12719;VIA GIOIA MELCHIORRE N. 141| isolato:124| accesso: accesso esterno| (z.d. 2);SOMMINISTRAZIONE - In piano;VIA GIOIA MELCHIORRE;141;1108.0;e - Bar gastronomici e simili|f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;pasticceria alvin s;112.0;20125.0;12.0;MACIACHINI - MAGGIOLINA;2.0;9.20715107897;45.4951935696;45.4951935696, 9.20715107897
C-PE/12720;Via TEODOSIO N. 3| isolato:054| accesso: accesso esterno| (z.d. 3);SOMMINISTRAZIONE - In piano;Via TEODOSIO;3;2550.0;;non solo caffe alimentari;41.0;20131.0;22.0;CITTA' STUDI;3.0;9.22974218039;45.4827142315;45.4827142315, 9.22974218039
C-PE/12724;VIA SPERONARI N. 3|via speronari 003| isolato:446| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;VIA SPERONARI;3;658.0;a - Ristorante, trattoria, osteria con cucina e simili;casa del caffe vergnano;95.0;20123.0;1.0;DUOMO;1.0;9.17754762318;45.4650073038;45.4650073038, 9.17754762318
C-PE/12731;Via COLA DI RIENZO N. 57| isolato:013| accesso: accesso esterno| (z.d. 6);SOMMINISTRAZIONE - In piano;Via COLA DI RIENZO;57;6094.0;;;112.0;20144.0;50.0;TORTONA;6.0;9.15525492203;45.4544058503;45.4544058503, 9.15525492203
C-PE/12737;Viale BEZZI ERGISTO N. 82 (z.d. 7);SOMMINISTRAZIONE - In piano;Viale BEZZI ERGISTO;82;6272.0;f - Bar caffè e simili;slect market bar;62.0;20146.0;52.0;BANDE NERE;7.0;9.14892923999559;45.4605837488882;45.4605837488882, 9.14892923999559
C-PE/12747;Via VIGEVANO N. 33| isolato:051| accesso: accesso esterno| (z.d. 6);SOMMINISTRAZIONE - In piano;Via VIGEVANO;33;5116.0;;;131.0;20144.0;44.0;NAVIGLI;6.0;9.17189322188;45.4529841794;45.4529841794, 9.17189322188
C-PE/12756;Via MARSALA N. 2 con ingresso da via solferino| isolato:006| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;Via MARSALA;2;1035.0;;caffe letterario;59.0;20121.0;2.0;BRERA;1.0;9.18795508198;45.4783814691;45.4783814691, 9.18795508198
C-PE/12758;Via MINIATO (SAN) N. 4| isolato:028| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via MINIATO (SAN);4;1621.0;;l isola della pizza;178.0;20162.0;14.0;NIGUARDA - CA' GRANDA;9.0;9.20704053096;45.5244058177;45.5244058177, 9.20704053096
C-PE/13690;Via FRASCHINI (F.LLI) N. 6 angolo via d'ascanio| accesso: accesso esterno| (z.d. 5);SOMMINISTRAZIONE - In piano;Via FRASCHINI (F.LLI);6;4355.0;;;84.0;20142.0;41.0;GRATOSOGLIO - TICINELLO;5.0;9.17801387626;45.4187362061;45.4187362061, 9.17801387626
C-PE/13698;Via CADOLINI GIOVANNI N. 39| isolato:183| accesso: accesso esterno| (z.d. 4);SOMMINISTRAZIONE - In piano;Via CADOLINI GIOVANNI;39;4098.0;e - Bar gastronomici e simili;gogancia;335.0;20137.0;28.0;UMBRIA - MOLISE;4.0;9.2215715338;45.4469745844;45.4469745844, 9.2215715338
C-PE/12125;Via DANTE ALIGHIERI N. 15|via dante alighieri 015| isolato:371| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;Via DANTE ALIGHIERI;15;612.0;;;38.0;20123.0;1.0;DUOMO;1.0;9.18323941696;45.467331581;45.467331581, 9.18323941696
C-PE/12137;Strada CARITA' (DELLA) N. 2| isolato:176| accesso: accesso esterno| (z.d. 4);SOMMINISTRAZIONE - In piano;Strada CARITA' (DELLA);2;4083.0;;ristorante 4 stagioni;115.0;20135.0;27.0;PTA ROMANA;4.0;9.20766479378;45.4493720369;45.4493720369, 9.20766479378
C-PE/12138;VIA MERAVIGLI N. 2|via meravigli 002| isolato:375| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;VIA MERAVIGLI;2;614.0;a - Ristorante, trattoria, osteria con cucina e simili|e - Bar gastronomici e simili|f - Bar caffè e simili;;75.0;20123.0;1.0;DUOMO;1.0;9.18474664084;45.4660081351;45.4660081351, 9.18474664084
C-PE/12142;Largo DONEGANI GUIDO N. 1| isolato:091| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;Largo DONEGANI GUIDO;1;1009.0;a - Ristorante, trattoria, osteria con cucina e simili|c - Tavole calde,self service, fast food e simili|d - Pizzerie e simili|e - Bar gastronomici e simili|h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili|f - Bar caffè e simili;subway cafe;138.0;20121.0;2.0;BRERA;1.0;9.19438595047;45.4752283781;45.4752283781, 9.19438595047
C-PE/12161;Via FARAVELLI LUIGI GIUSEPPE N. 8| isolato:339| accesso: accesso esterno| (z.d. 8);SOMMINISTRAZIONE - In piano;Via FARAVELLI LUIGI GIUSEPPE;8;7162.0;a - Ristorante, trattoria, osteria con cucina e simili;;174.0;20149.0;67.0;PORTELLO;8.0;9.15502730587;45.4854590255;45.4854590255, 9.15502730587
C-PE/12163;Via COSTA ANDREA N. 3| isolato:358| accesso: accesso esterno| (z.d. 2);SOMMINISTRAZIONE - In piano;Via COSTA ANDREA;3;2276.0;;bar mercurio;59.0;20131.0;20.0;LORETO;2.0;9.21856143138;45.4867722642;45.4867722642, 9.21856143138
